index;symbol;codepoint;source_file;result_symbol_file;profile_x_file;profile_y_file;width;height;weight_total;q1_top_left_weight;q2_top_right_weight;q3_bottom_left_weight;q4_bottom_right_weight;q1_top_left_density;q2_top_right_density;q3_bottom_left_density;q4_bottom_right_density;center_x;center_y;center_x_norm;center_y_norm;inertia_x;inertia_y;inertia_x_norm;inertia_y_norm
1;А;u0410;source_symbols/01_u0410.png;results/01_u0410/00_symbol.png;results/01_u0410/01_profile_x.png;results/01_u0410/02_profile_y.png;53;56;893;175;187;263;268;0.240385;0.247354;0.361264;0.354497;26.089586;29.938410;0.501723;0.544335;173961.612542;124598.833147;58.612403;41.980739
2;Ә;u04d8;source_symbols/02_u04d8.png;results/02_u04d8/00_symbol.png;results/02_u04d8/01_profile_x.png;results/02_u04d8/02_profile_y.png;53;58;1120;158;278;337;347;0.209549;0.355045;0.446950;0.443167;27.764286;29.563393;0.533929;0.518656;284979.499107;227821.771429;92.706408;74.112483
3;Б;u0411;source_symbols/03_u0411.png;results/03_u0411/00_symbol.png;results/03_u0411/01_profile_x.png;results/03_u0411/02_profile_y.png;42;56;992;314;147;266;265;0.534014;0.250000;0.452381;0.450680;17.417339;28.698589;0.424813;0.521793;269214.878024;135975.221774;114.462108;57.812594
4;В;u0412;source_symbols/04_u0412.png;results/04_u0412/00_symbol.png;results/04_u0412/01_profile_x.png;results/04_u0412/02_profile_y.png;42;56;1091;314;253;266;258;0.534014;0.430272;0.452381;0.438776;18.623281;27.577452;0.454226;0.501408;279322.205316;152704.168653;118.759441;64.925242
5;Г;u0413;source_symbols/05_u0413.png;results/05_u0413/00_symbol.png;results/05_u0413/01_profile_x.png;results/05_u0413/02_profile_y.png;37;56;520;236;102;182;0;0.468254;0.191729;0.361111;0.000000;9.950000;20.600000;0.276389;0.374545;140212.800000;39960.700000;67.670270;19.286052
6;Ғ;u0492;source_symbols/06_u0492.png;results/06_u0492/00_symbol.png;results/06_u0492/01_profile_x.png;results/06_u0492/02_profile_y.png;47;56;740;271;177;247;45;0.420807;0.263393;0.383540;0.066964;19.543243;22.651351;0.424853;0.411843;159776.048649;65679.616216;60.705186;24.954261
7;Д;u0414;source_symbols/07_u0414.png;results/07_u0414/00_symbol.png;results/07_u0414/01_profile_x.png;results/07_u0414/02_profile_y.png;54;67;1290;276;314;353;347;0.309764;0.352413;0.384532;0.377996;28.014729;33.284496;0.528580;0.504311;460518.589922;262336.720155;127.285404;72.508767
8;Е;u0415;source_symbols/08_u0415.png;results/08_u0415/00_symbol.png;results/08_u0415/01_profile_x.png;results/08_u0415/02_profile_y.png;38;56;838;292;177;252;117;0.548872;0.332707;0.473684;0.219925;14.436754;27.142005;0.390183;0.493491;255262.101432;86322.147971;119.953995;40.564919
9;Ё;u0401;source_symbols/09_u0401.png;results/09_u0401/00_symbol.png;results/09_u0401/01_profile_x.png;results/09_u0401/02_profile_y.png;38;70;936;242;151;351;192;0.363910;0.227068;0.527820;0.288722;14.809829;37.357906;0.400266;0.541419;370263.101496;92630.149573;139.196655;34.823365
10;Ж;u0416;source_symbols/10_u0416.png;results/10_u0416/00_symbol.png;results/10_u0416/01_profile_x.png;results/10_u0416/02_profile_y.png;79;56;1431;342;392;323;374;0.313187;0.350000;0.295788;0.333929;39.344514;27.016771;0.504417;0.491214;295843.597484;508973.154437;66.872423;115.048181
11;З;u0417;source_symbols/11_u0417.png;results/11_u0417/00_symbol.png;results/11_u0417/01_profile_x.png;results/11_u0417/02_profile_y.png;42;58;813;165;259;133;256;0.270936;0.425287;0.218391;0.420361;23.474785;28.472325;0.572556;0.499514;248278.627306;84488.733087;101.920619;34.683388
12;И;u0418;source_symbols/12_u0418.png;results/12_u0418/00_symbol.png;results/12_u0418/01_profile_x.png;results/12_u0418/02_profile_y.png;44;56;1090;197;349;349;195;0.319805;0.566558;0.566558;0.316558;21.490826;27.477064;0.499787;0.499583;232045.926606;220114.408257;94.174483;89.332146
