number;x_left;y_top;x_right;y_bottom;width;height;weight
1;0;1;51;51;52;51;1278
2;65;1;93;51;29;51;744
3;105;1;144;51;40;51;870
4;174;0;212;52;39;53;652
5;223;1;251;51;29;51;744
6;263;1;302;51;40;51;870
7;312;1;330;51;19;51;467
8;353;1;412;51;60;51;1152
9;414;1;459;51;46;51;782
10;467;1;506;65;40;65;893
11;511;0;549;52;39;53;652
12;559;1;606;51;48;51;1095
13;640;1;675;51;36;51;782
14;680;0;727;52;48;53;1137
15;739;1;771;51;33;51;739
16;783;1;811;51;29;51;744
17;823;1;874;51;52;51;1278
18;884;1;902;51;19;51;467
19;912;1;951;51;40;51;870
