segment;expected;rank;hypothesis;codepoint;distance;similarity
1;М;1;М;U+041C;0.19810681;0.83465012
1;М;2;И;U+0418;0.43703895;0.69587536
1;М;3;Й;U+0419;0.65517429;0.60416598
1;М;4;К;U+041A;0.74486844;0.57310911
1;М;5;Ю;U+042E;0.94428954;0.51432669
1;М;6;Ы;U+042B;0.94853672;0.51320562
1;М;7;Қ;U+049A;0.95143556;0.51244326
1;М;8;В;U+0412;1.04874577;0.48810351
1;М;9;Ж;U+0416;1.06143030;0.48510008
1;М;10;О;U+041E;1.09871130;0.47648288
1;М;11;Я;U+042F;1.14792769;0.46556502
1;М;12;Б;U+0411;1.19211182;0.45618111
1;М;13;Р;U+0420;1.20073065;0.45439454
1;М;14;Н;U+041D;1.22936396;0.44855843
1;М;15;Ү;U+04AE;1.23934802;0.44655855
1;М;16;П;U+041F;1.24740757;0.44495712
1;М;17;Л;U+041B;1.25892740;0.44268798
1;М;18;У;U+0423;1.26485926;0.44152854
1;М;19;Ь;U+042C;1.28048268;0.43850366
1;М;20;Ө;U+04E8;1.29824527;0.43511457
1;М;21;Х;U+0425;1.29899355;0.43497295
1;М;22;Һ;U+04BA;1.30370880;0.43408264
1;М;23;Ш;U+0428;1.30975912;0.43294558
1;М;24;Ф;U+0424;1.31906982;0.43120737
1;М;25;Ч;U+0427;1.32688944;0.42975828
1;М;26;Е;U+0415;1.36681398;0.42250891
1;М;27;Ә;U+04D8;1.37924215;0.42030190
1;М;28;Ң;U+04A2;1.39202484;0.41805586
1;М;29;С;U+0421;1.42668858;0.41208419
1;М;30;Ё;U+0401;1.43045748;0.41144517
1;М;31;Э;U+042D;1.43217432;0.41115474
1;М;32;Ұ;U+04B0;1.44171295;0.40954855
1;М;33;Ъ;U+042A;1.44177645;0.40953790
1;М;34;Д;U+0414;1.47312887;0.40434609
1;М;35;З;U+0417;1.47854551;0.40346243
1;М;36;Ц;U+0426;1.50060423;0.39990335
1;М;37;Щ;U+0429;1.52151665;0.39658671
1;М;38;А;U+0410;1.56819489;0.38937855
1;М;39;Г;U+0413;1.58206005;0.38728766
1;М;40;І;U+0406;1.60744480;0.38351723
1;М;41;Ғ;U+0492;1.65952520;0.37600697
1;М;42;Т;U+0422;1.80742631;0.35619813
2;Е;1;Е;U+0415;0.13762402;0.87902504
2;Е;2;Б;U+0411;0.48103561;0.67520321
2;Е;3;В;U+0412;0.69080019;0.59143594
2;Е;4;С;U+0421;0.73025239;0.57795037
2;Е;5;Г;U+0413;0.75747821;0.56899710
2;Е;6;Ь;U+042C;0.79853369;0.55600849
2;Е;7;Р;U+0420;0.80209585;0.55490944
2;Е;8;Ё;U+0401;0.81072217;0.55226584
2;Е;9;О;U+041E;0.93233354;0.51750900
2;Е;10;Һ;U+04BA;1.00393799;0.49901744
2;Е;11;Ы;U+042B;1.00446516;0.49888620
2;Е;12;Ө;U+04E8;1.01434502;0.49643928
2;Е;13;П;U+041F;1.01719207;0.49573861
2;Е;14;Қ;U+049A;1.03146333;0.49225599
2;Е;15;Э;U+042D;1.04021977;0.49014327
2;Е;16;Ә;U+04D8;1.04089808;0.48998037
2;Е;17;Н;U+041D;1.08391761;0.47986542
2;Е;18;З;U+0417;1.09476699;0.47738006
2;Е;19;Ю;U+042E;1.10389193;0.47530958
2;Е;20;Ғ;U+0492;1.14599526;0.46598425
2;Е;21;Ш;U+0428;1.15961094;0.46304637
2;Е;22;У;U+0423;1.17196825;0.46041189
2;Е;23;Я;U+042F;1.18488386;0.45769023
2;Е;24;Д;U+0414;1.18527393;0.45760853
2;Е;25;Ц;U+0426;1.19294691;0.45600739
2;Е;26;Ъ;U+042A;1.20001427;0.45454251
2;Е;27;І;U+0406;1.24884438;0.44467283
2;Е;28;Ң;U+04A2;1.25126815;0.44419409
2;Е;29;К;U+041A;1.27446245;0.43966433
2;Е;30;Щ;U+0429;1.27632545;0.43930449
2;Е;31;Ч;U+0427;1.28909867;0.43685316
2;Е;32;Ү;U+04AE;1.28915298;0.43684280
2;Е;33;Т;U+0422;1.30358982;0.43410506
2;Е;34;Ұ;U+04B0;1.30867634;0.43314863
2;Е;35;Л;U+041B;1.31611540;0.43175742
2;Е;36;Й;U+0419;1.37421720;0.42119146
2;Е;37;Ф;U+0424;1.38820706;0.41872416
2;Е;38;А;U+0410;1.40709494;0.41543854
2;Е;39;М;U+041C;1.41002717;0.41493308
2;Е;40;И;U+0418;1.45205020;0.40782199
2;Е;41;Ж;U+0416;1.53407096;0.39462194
2;Е;42;Х;U+0425;1.53704506;0.39415934
3;Н;1;Н;U+041D;0.10739100;0.90302341
3;Н;2;Һ;U+04BA;0.55418886;0.64342245
3;Н;3;П;U+041F;0.55585005;0.64273546
3;Н;4;Ы;U+042B;0.58974008;0.62903365
3;Н;5;Ч;U+0427;0.69952689;0.58839905
3;Н;6;Ь;U+042C;0.83582541;0.54471411
3;Н;7;О;U+041E;0.83922211;0.54370812
3;Н;8;Қ;U+049A;0.86398702;0.53648442
3;Н;9;Ц;U+0426;0.89166187;0.52863570
