segment;expected;top1;s1;top2;s2;top3;s3
01;М;М;0.834650;И;0.695875;Й;0.604166
02;Е;Е;0.879025;Б;0.675203;В;0.591436
03;Н;Н;0.903023;Һ;0.643422;П;0.642735
04;С;С;0.918447;О;0.629686;Г;0.582855
05;Е;Е;0.879025;Б;0.675203;В;0.591436
06;Н;Н;0.903023;Һ;0.643422;П;0.642735
07;І;І;0.956202;Т;0.517175;Ұ;0.507760
08;Ж;Ж;0.894226;Ү;0.578029;К;0.537242
09;А;А;0.915712;У;0.581618;Ұ;0.573206
10;Қ;Қ;0.933197;Р;0.608558;Ю;0.568814
11;С;С;0.918447;О;0.629686;Г;0.582855
12;Ы;Ы;0.846076;Н;0.638463;Ь;0.569033
13;К;К;0.890451;М;0.559496;И;0.551690
14;Ө;Ө;0.919662;Ә;0.796951;О;0.641111
15;Р;Р;0.916343;Г;0.610132;Қ;0.603547
16;Е;Е;0.879025;Б;0.675203;В;0.591436
17;М;М;0.834650;И;0.695875;Й;0.604166
18;І;І;0.956202;Т;0.517175;Ұ;0.507760
19;Н;Н;0.903023;Һ;0.643422;П;0.642735
