segment;expected;rank;hypothesis;codepoint;distance;similarity
1;М;1;М;U+041C;0.00000000;1.00000000
1;М;2;И;U+0418;0.42813242;0.70021518
1;М;3;Й;U+0419;0.67037183;0.59866910
1;М;4;К;U+041A;0.81756919;0.55018538
1;М;5;Ю;U+042E;0.90691563;0.52440705
1;М;6;Ы;U+042B;0.97104319;0.50734555
1;М;7;Қ;U+049A;0.98524387;0.50371645
1;М;8;Ж;U+0416;1.05852076;0.48578573
1;М;9;В;U+0412;1.07686438;0.48149509
1;М;10;О;U+041E;1.11622466;0.47253962
1;М;11;Я;U+042F;1.12284647;0.47106563
1;М;12;Л;U+041B;1.20566354;0.45337831
1;М;13;Ү;U+04AE;1.21231353;0.45201550
1;М;14;Б;U+0411;1.22310371;0.44982157
1;М;15;Р;U+0420;1.22652179;0.44913102
1;М;16;Н;U+041D;1.23970722;0.44648693
1;М;17;П;U+041F;1.25227290;0.44399593
1;М;18;У;U+0423;1.27626519;0.43931612
1;М;19;Ш;U+0428;1.29609621;0.43552182
1;М;20;Х;U+0425;1.30666642;0.43352606
1;М;21;Ө;U+04E8;1.31069181;0.43277082
1;М;22;Ф;U+0424;1.31556445;0.43186015
1;М;23;Ч;U+0427;1.31572528;0.43183015
1;М;24;Ь;U+042C;1.32109416;0.43083129
1;М;25;Һ;U+04BA;1.33096484;0.42900690
1;М;26;Ә;U+04D8;1.37736954;0.42063297
1;М;27;Ң;U+04A2;1.39039057;0.41834168
1;М;28;Е;U+0415;1.39200326;0.41805963
1;М;29;Э;U+042D;1.40155323;0.41639718
1;М;30;Ъ;U+042A;1.41934305;0.41333535
1;М;31;Ұ;U+04B0;1.42855269;0.41176788
1;М;32;С;U+0421;1.44774309;0.40853961
1;М;33;Д;U+0414;1.44805907;0.40848688
1;М;34;З;U+0417;1.45310992;0.40764582
1;М;35;Ё;U+0401;1.46305014;0.40600067
1;М;36;Щ;U+0429;1.48566982;0.40230605
1;М;37;Ц;U+0426;1.49860825;0.40022280
1;М;38;А;U+0410;1.57846876;0.38782708
1;М;39;І;U+0406;1.59252830;0.38572385
1;М;40;Г;U+0413;1.60369468;0.38406961
1;М;41;Ғ;U+0492;1.63280885;0.37982248
1;М;42;Т;U+0422;1.78215450;0.35943367
2;Е;1;Е;U+0415;0.00000000;1.00000000
2;Е;2;Б;U+0411;0.41584786;0.70629057
2;Е;3;В;U+0412;0.63912436;0.61008184
2;Е;4;С;U+0421;0.74560163;0.57286839
2;Е;5;Р;U+0420;0.77273757;0.56409929
2;Е;6;Ь;U+042C;0.78108568;0.56145530
2;Е;7;Г;U+0413;0.80397239;0.55433221
2;Е;8;Ё;U+0401;0.81150608;0.55202685
2;Е;9;О;U+041E;0.92360408;0.51985749
2;Е;10;Ө;U+04E8;0.95555089;0.51136486
2;Е;11;Ә;U+04D8;0.97880036;0.50535669
2;Е;12;Ы;U+042B;0.98428983;0.50395864
2;Е;13;Э;U+042D;1.01019360;0.49746452
2;Е;14;Һ;U+04BA;1.02149960;0.49468227
2;Е;15;Қ;U+049A;1.02298055;0.49432013
2;Е;16;П;U+041F;1.02814333;0.49306180
2;Е;17;З;U+0417;1.06152911;0.48507683
2;Е;18;Н;U+041D;1.08291027;0.48009749
2;Е;19;Ю;U+042E;1.09285829;0.47781544
2;Е;20;Ғ;U+0492;1.11809586;0.47212216
2;Е;21;У;U+0423;1.13138462;0.46917858
2;Е;22;Я;U+042F;1.14984221;0.46515042
2;Е;23;Ш;U+0428;1.16232354;0.46246548
2;Е;24;Ъ;U+042A;1.16812555;0.46122790
2;Е;25;Д;U+0414;1.17331664;0.46012623
2;Е;26;Ц;U+0426;1.20092211;0.45435502
2;Е;27;І;U+0406;1.22277305;0.44988848
2;Е;28;Ң;U+04A2;1.25843146;0.44278519
2;Е;29;К;U+041A;1.26051968;0.44237615
2;Е;30;Ү;U+04AE;1.27009359;0.44051047
2;Е;31;Ч;U+0427;1.27476532;0.43960579
2;Е;32;Щ;U+0429;1.28446122;0.43773998
2;Е;33;Ұ;U+04B0;1.28784351;0.43709283
2;Е;34;Т;U+0422;1.30842039;0.43319666
2;Е;35;Л;U+041B;1.31020866;0.43286133
2;Е;36;Й;U+0419;1.34700207;0.42607547
2;Е;37;А;U+0410;1.37194657;0.42159466
2;Е;38;Ф;U+0424;1.38120880;0.41995477
2;Е;39;М;U+041C;1.39200326;0.41805963
2;Е;40;И;U+0418;1.43694575;0.41034972
2;Е;41;Х;U+0425;1.49842760;0.40025174
2;Е;42;Ж;U+0416;1.51267493;0.39798224
3;Н;1;Н;U+041D;0.00000000;1.00000000
3;Н;2;Һ;U+04BA;0.55685831;0.64231921
3;Н;3;Ы;U+042B;0.57078221;0.63662549
3;Н;4;П;U+041F;0.57546359;0.63473381
3;Н;5;Ч;U+0427;0.66665986;0.60000245
3;Н;6;Ь;U+042C;0.81506616;0.55094410
3;Н;7;О;U+041E;0.84318683;0.54253860
3;Н;8;Ө;U+04E8;0.85078902;0.54031010
3;Н;9;Қ;U+049A;0.85777593;0.53827805
3;Н;10;Р;U+0420;0.88761274;0.52976968
3;Н;11;Ц;U+0426;0.89191146;0.52856596
3;Н;12;В;U+0412;0.90764391;0.52420685
3;Н;13;Ә;U+04D8;0.92158226;0.52040447
3;Н;14;Ң;U+04A2;0.93666299;0.51635210
3;Н;15;Я;U+042F;0.98503388;0.50376974
3;Н;16;Б;U+0411;0.98590066;0.50354986
3;Н;17;Ю;U+042E;1.00887285;0.49779159
3;Н;18;Щ;U+0429;1.00916889;0.49771824
