index;symbol;codepoint;width;height;mass_density;center_x_norm;center_y_norm;inertia_x_norm;inertia_y_norm;px_01;px_02;px_03;px_04;px_05;px_06;px_07;px_08;px_09;px_10;px_11;px_12;px_13;px_14;px_15;px_16;py_01;py_02;py_03;py_04;py_05;py_06;py_07;py_08;py_09;py_10;py_11;py_12;py_13;py_14;py_15;py_16
1;А;U+0410;50;55;0.33333333;0.50048309;0.54212276;0.06813246;0.05916627;0.04166667;0.20833333;0.35416667;0.37500000;0.35416667;0.50000000;0.50000000;0.39583333;0.39583333;0.50000000;0.50000000;0.37500000;0.39583333;0.35416667;0.18750000;0.04166667;0.08823529;0.14705882;0.17647059;0.17647059;0.20588235;0.20588235;0.20588235;0.19607843;0.20588235;0.44117647;0.48039216;0.21078431;0.20588235;0.21078431;0.21078431;0.20588235
2;Ә;U+04D8;49;57;0.41635220;0.53131008;0.51564800;0.08377064;0.08841912;0.12820513;0.31367521;0.37008547;0.27435897;0.24700855;0.23076923;0.23076923;0.23076923;0.22478632;0.23076923;0.24786325;0.26666667;0.35641026;0.49487179;0.38119658;0.16666667;0.11111111;0.34962963;0.18296296;0.08888889;0.08740741;0.08518519;0.08888889;0.50000000;0.50000000;0.17777778;0.15555556;0.16666667;0.17333333;0.21407407;0.29333333;0.10000000
3;Б;U+0411;38;55;0.50980392;0.40710270;0.52196833;0.10086898;0.09480459;0.50000000;0.50000000;0.50000000;0.30588235;0.17647059;0.17647059;0.17450980;0.16666667;0.17254902;0.17647059;0.19607843;0.20196078;0.28627451;0.27843137;0.18235294;0.07843137;0.50000000;0.50000000;0.11290323;0.11290323;0.11290323;0.11290323;0.11290323;0.43010753;0.38172043;0.24193548;0.24193548;0.22580645;0.22580645;0.25268817;0.47311828;0.37096774
4;В;U+0412;40;55;0.55718954;0.44999302;0.50097752;0.09506591;0.10085769;0.50000000;0.50000000;0.50000000;0.17647059;0.17647059;0.17647059;0.17647059;0.17647059;0.17647059;0.18627451;0.20261438;0.26143791;0.40196078;0.38888889;0.29084967;0.08823529;0.34848485;0.47474747;0.24747475;0.21212121;0.21212121;0.22222222;0.24242424;0.40404040;0.35858586;0.22727273;0.22222222;0.21212121;0.22727273;0.25757576;0.47474747;0.37878788
5;Г;U+0413;33;55;0.33062880;0.24693252;0.37852761;0.09947515;0.06565947;0.50000000;0.50000000;0.50000000;0.50000000;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.50000000;0.50000000;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966
6;Ғ;U+0492;40;55;0.33660131;0.38617661;0.40200647;0.08259195;0.04876885;0.04901961;0.05882353;0.05882353;0.50000000;0.50000000;0.50000000;0.11764706;0.11764706;0.11764706;0.11764706;0.11764706;0.11764706;0.05882353;0.05882353;0.05882353;0.04901961;0.50000000;0.50000000;0.11666667;0.11666667;0.11666667;0.11666667;0.11666667;0.46666667;0.46666667;0.11666667;0.11666667;0.11666667;0.11666667;0.11666667;0.11666667;0.11666667
7;Д;U+0414;52;69;0.37339744;0.54090037;0.51268777;0.08443789;0.08361358;0.18627451;0.19607843;0.20392157;0.16862745;0.24052288;0.30065359;0.31960784;0.19934641;0.11764706;0.11764706;0.11764706;0.29607843;0.50000000;0.50000000;0.19607843;0.19607843;0.25000000;0.26041667;0.14097222;0.14583333;0.14583333;0.14583333;0.14583333;0.14583333;0.14583333;0.15000000;0.15277778;0.50000000;0.13541667;0.13541667;0.13541667;0.13541667
8;Е;U+0415;33;55;0.50304260;0.37202381;0.49502688;0.10932468;0.08650230;0.50000000;0.50000000;0.50000000;0.50000000;0.17647059;0.17647059;0.17647059;0.17647059;0.17647059;0.17647059;0.17647059;0.17647059;0.17647059;0.17647059;0.17516340;0.09803922;0.50000000;0.50000000;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.48275862;0.24137931;0.12068966;0.12068966;0.12068966;0.12068966;0.12068966;0.50000000;0.50000000
9;Ё;U+0401;33;69;0.43925729;0.38720669;0.54881869;0.08813372;0.08542033;0.43965517;0.43965517;0.43965517;0.49310345;0.21551724;0.20977011;0.17586207;0.15517241;0.15517241;0.15517241;0.20402299;0.21551724;0.21551724;0.18678161;0.15402299;0.08620690;0.15517241;0.23218391;0.00000000;0.00000000;0.50000000;0.12068966;0.12068966;0.12068966;0.16666667;0.48275862;0.12068966;0.12068966;0.12068966;0.12068966;0.49540230;0.50000000
10;Ж;U+0416;65;55;0.37062038;0.50342585;0.50301821;0.08378982;0.05882794;0.00980392;0.10784314;0.19607843;0.19607843;0.19607843;0.19607843;0.09803922;0.50000000;0.50000000;0.07843137;0.17647059;0.18627451;0.18627451;0.20588235;0.12745098;0.01960784;0.50000000;0.49275362;0.47826087;0.50000000;0.49275362;0.47826087;0.47826087;0.48550725;0.49275362;0.50000000;0.48550725;0.50000000;0.50000000;0.50000000;0.50000000;0.50000000
